Sentence,Target_Action,Noun,Color,Relative_Action,Relative_Object,Relative_Object_Color
add the red cube,add,cube,red,none,none,none
find the red cube,find,cube,red,none,none,none
delete the red cube,delete,cube,red,none,none,none
move the red cube,move,cube,red,none,none,none
hold the red cube,hold,cube,red,none,none,none
add the blue cube,add,cube,blue,none,none,none
find the blue cube,find,cube,blue,none,none,none
delete the blue cube,delete,cube,blue,none,none,none
move the blue cube,move,cube,blue,none,none,none
hold the blue cube,hold,cube,blue,none,none,none
add the green cube,add,cube,green,none,none,none
find the green cube,find,cube,green,none,none,none
delete the green cube,delete,cube,green,none,none,none
move the green cube,move,cube,green,none,none,none
hold the green cube,hold,cube,green,none,none,none
add the red pyramid,add,pyramid,red,none,none,none
find the red pyramid,find,pyramid,red,none,none,none
delete the red pyramid,delete,pyramid,red,none,none,none
move the red pyramid,move,pyramid,red,none,none,none
hold the red pyramid,hold,pyramid,red,none,none,none
add the blue pyramid,add,pyramid,blue,none,none,none
find the blue pyramid,find,pyramid,blue,none,none,none
delete the blue pyramid,delete,pyramid,blue,none,none,none
move the blue pyramid,move,pyramid,blue,none,none,none
hold the blue pyramid,hold,pyramid,blue,none,none,none
add the green pyramid,add,pyramid,green,none,none,none
find the green pyramid,find,pyramid,green,none,none,none
delete the green pyramid,delete,pyramid,green,none,none,none
move the green pyramid,move,pyramid,green,none,none,none
hold the green pyramid,hold,pyramid,green,none,none,none
add the red sphere,add,sphere,red,none,none,none
find the red sphere,find,sphere,red,none,none,none
delete the red sphere,delete,sphere,red,none,none,none
move the red sphere,move,sphere,red,none,none,none
hold the red sphere,hold,sphere,red,none,none,none
add the blue sphere,add,sphere,blue,none,none,none
find the blue sphere,find,sphere,blue,none,none,none
delete the blue sphere,delete,sphere,blue,none,none,none
move the blue sphere,move,sphere,blue,none,none,none
hold the blue sphere,hold,sphere,blue,none,none,none
add the green sphere,add,sphere,green,none,none,none
find the green sphere,find,sphere,green,none,none,none
delete the green sphere,delete,sphere,green,none,none,none
move the green sphere,move,sphere,green,none,none,none
hold the green sphere,hold,sphere,green,none,none,none
add the red cube above the red cube,add,cube,red,above,cube,red
add the red cube above the blue cube,add,cube,red,above,cube,blue
add the red cube above the green cube,add,cube,red,above,cube,green
add the red cube below the red cube,add,cube,red,below,cube,red
add the red cube below the blue cube,add,cube,red,below,cube,blue
add the red cube below the green cube,add,cube,red,below,cube,green
add the red cube near the red cube,add,cube,red,near,cube,red
add the red cube near the blue cube,add,cube,red,near,cube,blue
add the red cube near the green cube,add,cube,red,near,cube,green
add the red cube right the red cube,add,cube,red,right,cube,red
add the red cube right the blue cube,add,cube,red,right,cube,blue
add the red cube right the green cube,add,cube,red,right,cube,green
add the red cube left the red cube,add,cube,red,left,cube,red
add the red cube left the blue cube,add,cube,red,left,cube,blue
add the red cube left the green cube,add,cube,red,left,cube,green
add the red cube above the red pyramid,add,cube,red,above,pyramid,red
add the red cube above the blue pyramid,add,cube,red,above,pyramid,blue
add the red cube above the green pyramid,add,cube,red,above,pyramid,green
add the red cube below the red pyramid,add,cube,red,below,pyramid,red
add the red cube below the blue pyramid,add,cube,red,below,pyramid,blue
add the red cube below the green pyramid,add,cube,red,below,pyramid,green
add the red cube near the red pyramid,add,cube,red,near,pyramid,red
add the red cube near the blue pyramid,add,cube,red,near,pyramid,blue
add the red cube near the green pyramid,add,cube,red,near,pyramid,green
add the red cube right the red pyramid,add,cube,red,right,pyramid,red
add the red cube right the blue pyramid,add,cube,red,right,pyramid,blue
add the red cube right the green pyramid,add,cube,red,right,pyramid,green
add the red cube left the red pyramid,add,cube,red,left,pyramid,red
add the red cube left the blue pyramid,add,cube,red,left,pyramid,blue
add the red cube left the green pyramid,add,cube,red,left,pyramid,green
add the red cube above the red sphere,add,cube,red,above,sphere,red
add the red cube above the blue sphere,add,cube,red,above,sphere,blue
add the red cube above the green sphere,add,cube,red,above,sphere,green
add the red cube below the red sphere,add,cube,red,below,sphere,red
add the red cube below the blue sphere,add,cube,red,below,sphere,blue
add the red cube below the green sphere,add,cube,red,below,sphere,green
add the red cube near the red sphere,add,cube,red,near,sphere,red
add the red cube near the blue sphere,add,cube,red,near,sphere,blue
add the red cube near the green sphere,add,cube,red,near,sphere,green
add the red cube right the red sphere,add,cube,red,right,sphere,red
add the red cube right the blue sphere,add,cube,red,right,sphere,blue
add the red cube right the green sphere,add,cube,red,right,sphere,green
add the red cube left the red sphere,add,cube,red,left,sphere,red
add the red cube left the blue sphere,add,cube,red,left,sphere,blue
add the red cube left the green sphere,add,cube,red,left,sphere,green
find the red cube above the red cube,find,cube,red,above,cube,red
find the red cube above the blue cube,find,cube,red,above,cube,blue
find the red cube above the green cube,find,cube,red,above,cube,green
find the red cube below the red cube,find,cube,red,below,cube,red
find the red cube below the blue cube,find,cube,red,below,cube,blue
find the red cube below the green cube,find,cube,red,below,cube,green
find the red cube near the red cube,find,cube,red,near,cube,red
find the red cube near the blue cube,find,cube,red,near,cube,blue
find the red cube near the green cube,find,cube,red,near,cube,green
find the red cube right the red cube,find,cube,red,right,cube,red
find the red cube right the blue cube,find,cube,red,right,cube,blue
find the red cube right the green cube,find,cube,red,right,cube,green
find the red cube left the red cube,find,cube,red,left,cube,red
find the red cube left the blue cube,find,cube,red,left,cube,blue
find the red cube left the green cube,find,cube,red,left,cube,green
find the red cube above the red pyramid,find,cube,red,above,pyramid,red
find the red cube above the blue pyramid,find,cube,red,above,pyramid,blue
find the red cube above the green pyramid,find,cube,red,above,pyramid,green
find the red cube below the red pyramid,find,cube,red,below,pyramid,red
find the red cube below the blue pyramid,find,cube,red,below,pyramid,blue
find the red cube below the green pyramid,find,cube,red,below,pyramid,green
find the red cube near the red pyramid,find,cube,red,near,pyramid,red
find the red cube near the blue pyramid,find,cube,red,near,pyramid,blue
find the red cube near the green pyramid,find,cube,red,near,pyramid,green
find the red cube right the red pyramid,find,cube,red,right,pyramid,red
find the red cube right the blue pyramid,find,cube,red,right,pyramid,blue
find the red cube right the green pyramid,find,cube,red,right,pyramid,green
find the red cube left the red pyramid,find,cube,red,left,pyramid,red
find the red cube left the blue pyramid,find,cube,red,left,pyramid,blue
find the red cube left the green pyramid,find,cube,red,left,pyramid,green
find the red cube above the red sphere,find,cube,red,above,sphere,red
find the red cube above the blue sphere,find,cube,red,above,sphere,blue
find the red cube above the green sphere,find,cube,red,above,sphere,green
find the red cube below the red sphere,find,cube,red,below,sphere,red
find the red cube below the blue sphere,find,cube,red,below,sphere,blue
find the red cube below the green sphere,find,cube,red,below,sphere,green
find the red cube near the red sphere,find,cube,red,near,sphere,red
find the red cube near the blue sphere,find,cube,red,near,sphere,blue
find the red cube near the green sphere,find,cube,red,near,sphere,green
find the red cube right the red sphere,find,cube,red,right,sphere,red
find the red cube right the blue sphere,find,cube,red,right,sphere,blue
find the red cube right the green sphere,find,cube,red,right,sphere,green
find the red cube left the red sphere,find,cube,red,left,sphere,red
find the red cube left the blue sphere,find,cube,red,left,sphere,blue
find the red cube left the green sphere,find,cube,red,left,sphere,green
delete the red cube above the red cube,delete,cube,red,above,cube,red
delete the red cube above the blue cube,delete,cube,red,above,cube,blue
delete the red cube above the green cube,delete,cube,red,above,cube,green
delete the red cube below the red cube,delete,cube,red,below,cube,red
delete the red cube below the blue cube,delete,cube,red,below,cube,blue
delete the red cube below the green cube,delete,cube,red,below,cube,green
delete the red cube near the red cube,delete,cube,red,near,cube,red
delete the red cube near the blue cube,delete,cube,red,near,cube,blue
delete the red cube near the green cube,delete,cube,red,near,cube,green
delete the red cube right the red cube,delete,cube,red,right,cube,red
delete the red cube right the blue cube,delete,cube,red,right,cube,blue
delete the red cube right the green cube,delete,cube,red,right,cube,green
delete the red cube left the red cube,delete,cube,red,left,cube,red
delete the red cube left the blue cube,delete,cube,red,left,cube,blue
delete the red cube left the green cube,delete,cube,red,left,cube,green
